Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,PP_G,PP_A,SH_G,SH_A,Def_Hits,Def_BS
Auston Matthews,TOR,C,46,40,18,58,14,4,198,5,10,6,0,1,42,56
Sam Reinhart,FLA,RW,49,37,25,62,13,21,134,9,20,4,4,0,23,43
David Pastrnak,BOS,RW,49,33,39,72,16,39,248,4,11,17,0,0,35,13
Nikita Kucherov,TB,RW,49,32,53,85,5,12,210,5,11,26,0,0,21,19
Nathan MacKinnon,COL,C,49,31,53,84,17,30,224,7,7,25,0,0,33,43
Zach Hyman,EDM,RW,44,30,17,47,19,38,163,4,9,4,0,0,33,26
Artemi Panarin,NYR,LW,49,30,36,66,-2,14,194,3,9,19,0,0,5,6
Brock Boeser,VAN,RW,49,30,22,52,20,4,134,3,12,4,0,0,22,18
Mikko Rantanen,COL,RW,49,27,39,66,6,24,166,5,10,20,0,0,27,31
Elias Pettersson,VAN,C,49,27,37,64,16,4,137,9,10,15,0,1,59,38
Sidney Crosby,PIT,C,46,27,23,50,19,24,167,3,6,4,0,0,47,22
Jonathan Marchessault,VGK,LW,50,25,15,40,1,24,173,2,6,6,0,0,47,16
Brayden Point,TB,C,50,25,29,54,-9,8,137,6,7,12,0,0,10,31
Carter Verhaeghe,FLA,C,49,24,26,50,13,22,160,5,6,5,0,0,27,15
Brad Marchand,BOS,LW,49,24,23,47,9,51,131,5,7,14,1,0,49,22
Chris Kreider,NYR,LW,49,23,22,45,13,18,141,5,9,7,2,1,47,11
Filip Forsberg,NSH,RW,49,23,27,50,8,32,195,6,3,13,0,0,80,21
William Nylander,TOR,C,47,23,38,61,3,12,197,3,6,16,2,1,18,14
Leon Draisaitl,EDM,C,45,23,34,57,11,50,126,4,10,12,0,1,18,16
Dylan Larkin,DET,C,43,22,24,46,-3,33,143,4,8,11,2,0,16,20
Travis Konecny,PHI,C,50,22,20,42,9,44,166,2,2,2,5,0,35,14
Roope Hintz,DAL,LW,47,22,25,47,20,12,109,5,5,8,3,1,13,17
Jake Guentzel,PIT,LW,46,22,27,49,12,14,173,2,4,7,0,0,29,18
Valeri Nichushkin,COL,LW,40,22,20,42,9,18,128,4,13,3,0,2,46,17
Steven Stamkos,TB,C,47,21,26,47,-17,22,146,3,11,16,0,0,32,18
Tyler Toffoli,NJ,RW,47,21,13,34,-9,12,135,2,4,5,0,0,30,6
J.T. Miller,VAN,C,49,21,46,67,21,35,100,4,8,21,1,0,103,36
Brock Nelson,NYI,C,49,21,17,38,-11,18,156,1,6,7,1,0,20,26
Joel Eriksson Ek,MIN,C,49,21,18,39,10,38,184,4,9,4,1,0,92,38
Frank Vatrano,ANH,LW,49,21,14,35,-15,55,155,4,8,3,2,1,77,53
Trevor Moore,LA,LW,46,21,12,33,3,16,155,4,2,3,2,0,26,26
Clayton Keller,ARI,C,48,20,25,45,-15,24,146,4,6,13,0,0,10,19
Mitchell Marner,TOR,RW,47,20,33,53,11,14,118,2,6,11,1,0,27,39
Connor McDavid,EDM,C,43,20,47,67,17,24,144,2,5,20,0,0,61,21
Bo Horvat,NYI,C,48,20,25,45,6,20,146,3,8,6,0,1,33,30
Blake Coleman,CGY,C,49,20,20,40,22,36,115,4,2,0,4,2,62,35
Yegor Sharangovich,CGY,LW,49,20,15,35,-14,4,104,2,3,4,3,3,6,19
Brady Tkachuk,OTT,LW,45,20,18,38,-5,100,191,0,5,3,0,0,121,20
Joe Pavelski,DAL,RW,49,19,24,43,3,12,125,2,9,4,0,0,33,45
Jack Eichel,VGK,C,42,19,25,44,1,10,173,4,7,7,0,1,14,40
Dylan Strome,WAS,C,47,19,12,31,-8,10,98,3,5,4,0,0,6,33
Lawson Crouse,ARI,LW,47,19,10,29,0,30,102,1,4,3,0,1,82,31
Kirill Kaprizov,MIN,LW,42,19,26,45,5,22,137,4,7,14,0,0,19,23
Jared McCann,SEA,LW,47,19,14,33,-7,19,119,3,7,6,0,0,20,18
Jesper Bratt,NJ,LW,47,19,31,50,1,8,145,5,6,14,0,0,30,23
Alex DeBrincat,DET,RW,49,18,25,43,3,21,137,1,8,6,0,0,19,22
Owen Tippett,PHI,RW,46,18,12,30,-3,2,167,3,2,2,0,0,68,23
Kyle Connor,WPG,LW,31,18,11,29,-4,2,123,5,3,7,0,0,4,10
Charlie Coyle,BOS,C,49,18,24,42,12,26,100,4,4,1,0,1,55,34
John-Jason Peterka,BUF,RW,49,18,16,34,6,10,133,2,1,2,0,0,11,15
Joel Farabee,PHI,LW,50,17,23,40,4,29,120,2,2,4,0,0,26,41
Cole Caufield,MON,RW,49,17,22,39,-6,12,177,6,7,9,0,0,34,7
Jeff Skinner,BUF,LW,41,17,16,33,-1,24,142,2,6,1,0,0,9,8
Ryan O'Reilly,NSH,C,49,17,25,42,3,8,117,1,11,8,0,0,17,34
Tyler Seguin,DAL,C,49,17,22,39,6,18,100,1,0,3,0,2,32,15
Matt Duchene,DAL,C,48,17,28,45,13,8,102,7,3,6,0,0,15,36
Sebastian Aho,CAR,LW,45,17,37,54,8,18,131,4,4,18,1,1,20,10
Robert Thomas,STL,C,47,17,34,51,14,32,95,2,2,8,1,2,9,26
Jason Robertson,DAL,LW,49,17,33,50,13,16,146,1,5,12,0,0,32,18
Matthew Tkachuk,FLA,LW,49,16,35,51,9,48,181,1,2,17,0,0,60,16
Brandon Hagel,TB,LW,50,16,27,43,-1,43,118,1,0,4,0,0,20,28
Mason Marchment,DAL,LW,48,16,21,37,17,40,91,2,4,1,0,0,38,13
Adrian Kempe,LA,C,46,16,26,42,13,46,142,1,2,11,1,0,54,16
Nikolaj Ehlers,WPG,LW,47,16,19,35,19,21,142,5,0,3,0,0,16,17
Nazem Kadri,CGY,C,49,16,23,39,0,25,159,2,3,5,0,0,34,14
Evgeni Malkin,PIT,C,46,16,24,40,2,40,125,2,3,9,0,0,11,23
Teuvo Teravainen,CAR,C,48,16,13,29,3,4,94,3,7,4,1,1,8,15
Pavel Buchnevich,STL,LW,45,16,21,37,8,30,124,5,5,2,2,1,23,19
Matt Boldy,MIN,LW,42,16,17,33,2,36,116,2,6,6,0,0,10,15
Drake Batherson,OTT,RW,45,16,21,37,-5,34,106,2,3,8,0,0,49,22
Kirill Marchenko,CLS,LW,46,15,10,25,7,10,120,1,7,0,0,0,24,30
Jack Hughes,NJ,C,32,15,30,45,-5,10,138,3,5,16,0,0,7,14
Seth Jarvis,CAR,RW,48,15,23,38,3,10,115,3,8,4,0,1,69,27
Jake Neighbours,STL,LW,47,15,4,19,-9,6,84,0,4,2,0,0,73,29
Connor Bedard,CHI,C,39,15,18,33,-22,12,118,2,1,7,0,0,22,13
Anthony Mantha,WAS,RW,43,15,8,23,6,6,77,0,1,3,0,0,19,15
Jason Dickinson,CHI,C,50,15,10,25,8,33,79,1,1,0,0,0,78,46
Ryan Hartman,MIN,RW,44,15,10,25,-6,36,100,0,4,0,0,0,33,31
Tomas Hertl,SJ,C,48,15,19,34,-26,22,113,1,5,4,1,0,38,46
Vincent Trocheck,NYR,C,49,15,31,46,0,41,119,3,9,8,0,0,65,44
William Karlsson,VGK,C,38,15,17,32,10,18,93,1,4,7,1,0,9,23
Anze Kopitar,LA,C,46,15,25,40,14,6,86,3,6,8,0,1,17,41
Evander Kane,EDM,LW,44,15,14,29,-7,54,132,3,2,3,1,0,138,21
Mika Zibanejad,NYR,C,48,15,31,46,9,28,116,1,7,14,1,1,18,35
Mark Stone,VGK,RW,50,15,34,49,1,22,105,5,4,10,2,2,23,33
